review,sentiment
watchedlastnightfirsttimeyearsbadreallybadenoughhilariouslyawfulmomentsworthwatchingfirstdeliberatemakeboybabysatcompletelyeffeminateevensayscostellolamaewestfascinatecostellodoubletakegodknowswouldhappenedbabysitterhunkkidwouldseducedheartbeatprincipalmaledancertotallyineptroarlaughterleapsprancestalentwhatsoevergiantgraveneverlookedbetterlifetworomanticleadszeroswastesabbottgetssingonelinedubbedanothersingergeezguessevencarrytunecostellomanagecharmingfearnothingnumberguesssmallchildrenmightlikemuchrecommendohseductiveeffeminateboyaspectaloneblewawayplusfactfamilyacceptedanyonestreetreferencesbabysitchildtodaylittlefemmyboywouldtakenaway,0
matteroneworstfilmsevermadeplotgoesfollowsslogjunglelookingareasminutesbogosomewherestripslogjunglegiveboanotherexcusestripbackjungleohlooktarzanlookingguystripbostripkillsafaripeopletarzanlookingguyfightscenesavesbobostripsruncreditsruncreditsrun,0
wantcompletewastetimepullinglintbellybuttoncleaningwaxearsgroutingtileideacarnivalthrillridewantmissonebrbronethingforgetvhscoverbodymovielooksattractiveieindiangirlsomeoneelsecommentedwhoeverposedcovergirlagreecoverexcitingthingmoviebrbrputperspectiveboughtvhscentskmartthreeminutessecondsmovieknewrippedbrbrfinishedwatchingpaycentsmightpossiblyconceivablyhairchancesceneturkeyworthpinchedloafbrbrbrbrgoodgrieffondaknowhardrolesbeneath,0
possiblyworstfilmwithingenreexistenceannouncedcomedysimplytragicallypatheticthinkanyonecouldachievedanythingterribleirritatingspecificallyrequestedtoilethumourpoorestwouldavoidevenwatchingtrailerwentseeannouncedlikemontypythonboundlovewhoeverwroteeitherbiasedseriouslyderangedstillbewilderedonehonestlybelievestatementrarelyleavecinemareallytakesloteffortfilmeffectoneminutes,0
shiningknowweirdmoviemovieeveryonepeopleclaimlikehorrorfilmsalwayssayshiningterrificfilmstanleykubrickclassicvisionstephenkinghorrortalemadnessbloodincrediblefilmwitherseenheardknowlinesknowclassicimagescouldforgetjackjohnnycouldforgetworkplaymakejackdullboycouldforgetchillingendingfilmunforgettablehonestlyopinionkubrickbestworkknowlotargumentdepartmentlotpeoplesayspaceodysseyclockworkorangeevendrstrangelovefilmpioneeredfilmmakingshiningperfectedtaleisolationmadnessterrifyingimagesultimateghoststorycrawlunderneathskinbrbrjacktorrancejacksondannyjackwifewendyarriveoverlookhotelclosingdayelderlyafricanamericanchefdickhallorannsurprisesdannyspeakingtelepathicallyofferingicecreamexplainsdannygrandmothersharedgiftcalledcommunicationshiningdannyasksanythingafraidhotelparticularlyroomdicktellsdannyhotelcertainshinemanymemoriesgoodadvisesstayroomcircumstancesdannycuriosityroomfinallygetsbetterseesroomopeneddannyshowsinjuredvisiblytraumatizedjacktellswendylovesfamilyseeingwendythinksjackabusingdannyjackwandershotelgoldroommeetsghostlybartendernamedlloyddannystartscallingwordredrumfranticallyscribblingwallsgoestrancewithdrawssaystonyimaginaryfriendjacksabotageshotelradiocuttingcommunicationoutsideworldhallorannreceiveddannytelepathiccryhelpwaywendydiscoversjacktypingendlesspagesmanuscriptrepeatingworkplaymakesjackdullboyformattedvariouswayshorrifiedjackthreatensknocksunconsciousbaseballbatlockingstoragelockerkitchenjackconversesgradydoorlockerunlocksreleasingdannywrittenredrumlipstickdoorwendybedroomlooksmirrorseesmurderspelledbackwardsjackpicksaxebeginschopdoorleadingfamilylivingquartersjohnnyjacklegendaryimagebornbrbrshiningonefilmsseriouslymaketimeseeincrediblefilmstillgivesnightmaresjacknicholsonperformancetimelessunforgettableonealsofeelextremelyoverlookedshelleyduvallscenefindingjackrantworkincrediblelookhorrorseefearfacerealizinghusbandmadalsoanotherincrediblescenejackseesghostwomanbathtubhonestlyoneterrifyingsceneshorrorcinemareasonfilmwellknownfilmperfectionsimpsonsshownfilmsfilmforeverstayseetrustbrbr,1
followingreviewonewrongsidetracksmeaningtwothingshearnothingpraisescomingfooledratingalsocouldtellreviewcontainsspoilerstechnicallyliebrbrwellscrewreviewgoingramblebitsincemuchfunbadfilmcannotenjoypieceutterdrivelsimplysensehumorfirstmoviemeanttakenseriouslymainaspectfuncomingstorydoctorsonterminallyilldaddydoctordecidesharttransplantmustwaysavingsontruemaddoctorstyledecidesheartgorillatrickcoursegorillaheartmuchpotenthumansonnyboytransformshideousapemanimmediatelybreaksfreegoeskillingrapingspreesimplyhornybeastwouldmakeapemanhilarioussimplywayputtingguysfacelooksliketurdtalkinghumanexcrementsolidbrownkindbeautifulgoreflickwonderfulasiderealfootageopenheartsurgeryalsoincrediblyfakequitenastylookingbloodgoreeffectsdecapitationeyegougingthroatrippingscalpingsomeoneskullhilariousindeedquiteincomprehensiblenightbloodyapesevermadenotoriousukvideonastieslistnastythingsportrayedfilmsimplyridiculoustakenseriouslyohonebloodyaperunningaroundwayneedlesssaylahorripilantebestiahumanamuchaccuratetitleterrifyingconvincingtalesciencegonehorriblywrongbrbrtryingshockpoorlystagedactsbloodyviolencerandomportrayalsfemalenuditymoviemanageshighlyentertainingingredientslikenonsensicaldialoguescheapcardboardsetsplotstupidityincrediblybadactingrandomexamplesmaybesetsoneclearlyseesetdesignersusedwallsdoorswindowsetcbuildvariousdifferentinteriorsetsegonesidehospitalroomwindowsideunconsciouswrestlinggirllieslookssuspiciouslysimilarlikewindowsidebasementlaboratoryapemanescapessetdesignersalsotookonesidewindowslaboratorymadebitlargerplacedconferenceroomhospitalwallsbuildinggreyonessettingparkclearlyshotstudioseeseveraloccasionsgrassloosewheneverstrugglingfightingrapinggoinggrassshiftsshufflesseegreyconcretestudiofloorbeneathbrbrrandomlinescomeactorsmouthsbrbrconferenceroomdoctorsdebatingdisappearanceunconsciouswrestlinggirldisappearancewouldcoursemeanbadpublicityhospitaldaddydoctorintelligentlyuttersfindsituationdifficultbrbrdebatecolleaguedoctorcleverlyremarkssleepwalkersleepwalkergetsherebyprovidingsolidexcusedisappearanceunconsciouswrestlinggirlbrbrinvestigatingdetectiveamazingprocesslogicaldeductionconcludestellssuperiormurderermusthalfmanhalfbeastsuperioranswersabsurdaddinglineprobablelatewatchingtelevisionmanypicturesterrortrulyonebestlinesmoviebrbrsourceslaughterbrbrtwoscenesdaddydoctorigorlikeassistantkidnapgorillazoounconsciouswrestlinggirlhospitalwellthoughtactsabductionliketakingcandybabybrbrdaddydoctorspeaksgodlotbrbrsonnyboycallingdaddydoctorpapaoneoccasionbrbroldladyscreamingaaarghdeadmandeadmandeadmandeadmanbrbrplotperiodicallystopswallowsceneswomenwrestlinggonothingconceptsuredaddydoctorreplacessonnyboygorillaheartsecondtimeunconsciouswrestlinggirlthinksomethingspectacularhappenslikeapeturdmangrowingbreastssomethingtryingrapementimeleadinglivingwrestlingbeautynormalazarenoevengoclimacticwrestlingcontestapeturdmannearmoviefinaleapeturdmanstartshowmotherlylovenearendalmostsayalmosttruekingkongstyleetopbuildingpeoplegroundpointingscreamingbrbrokaythinkenoughchippedtwocentsvomitronrationalratingsleazypiecehilariousdreckvomitronratingwrongsidetracksgoseefilmpeoplewellworth,0
reallymuchsaymoviecrudefunbrbrplotoutlineimdbbrbrbrbrtwolosersmilwaukeecoopremerparkerstoneinventnewgameplayingbasketballusingbaseballrulesgamebecomeshugesuccessalongbillionairehelpformprofessionalbaseketballleagueeveryonegetspayteamchangecitiescoopremerteammilwaukeebeersteamstandingwaymajorrulechangesownerdallasfelonsvaughnwantsinstitutebrbrbrbractingprettygoodsincearnmanybigstarsmoviealthoughbigfansouthparkparkerstoneprettygoodjobfirstrealmoviebrbrmanyfunnymomentsmoviecomeclosenamingneverreallyletstryputcruddydramamakeseriousbrbrfavoriteaspectmoviesoundtrackgreatespeciallyliketakebeerreelbigfishunderratedbrbroverallcrudeextremelyfunnymoviebrbrjamesblackwolfjohnston,1
broughtphiliplarkinlifewayworthygreatestperformancestimeonesmeasuredpopularityshowsstarkportrayallarkinslifegreatestunrecognizedpoeteraexactlywouldwanteddisdaincankersmedallionsdramaticallyexposesrawbeautyintensesadnessphilipsobservationsrelationshipmortalitylayswayseemsmissedevengreatphilosophersanyoneinterestedprofoundobservationsrelationshiplifelovedeathmust,1
filmopenedbacklegendmetmassivejeeringdisdainwidelyconsideredfailurevividlyrememberebertgivingonestarsupposedlybooedcannesbrbrapparentlypeopleunderstandmoviehardcomprehendsinceesotericdarklayeredwaysstillastoundreadingmanyreviewsfindevenviewingsyearsmanyelementsfilmpreviouslyglossedevenwithoutunderstandingmuchpsychologicalunderpinningsstorystillcrackingsuspensereventakeescalatingparanoiapersecutionovertakespolanskititlecharacterliketsunamiwavecoursetwohourrunningtimebrbrexaminingsourcematerialexcellentnovellaunderratednovelistrolandtoporuncoversintriguinglayerspolanskitrekovskymilquetoasthighestorderthoughseemsfirstyetanothermildeverydaysoulonegraduallyrealizesonepeopleseemsaimlesslydriftlifelettingdirectseemsstrongfeelingslikesdislikesfindsgentlypushedwayneverseemsgetbentshaperegardlessvaguesortwishywashynessnoticeablenovelmoviehintsearlyfilmbrbrmakingplayapartmentwomanonemademouisellechoulehospitalrecoveringrecentsuicideattemptappearsdaringthingattemptedeveneffectivelyhagglingpricedepositbargainsoonfindshoweverpayinggoodthingwayscaresfindscentermaelstromcreatedbuildingfullneuroticcontrolfreakshypersensitiveevenslightestsignhumanlifefootstepnightknockdoorbrbrinsteadtakingstandthoughtrelkovskybecomesincreasinglyalienatedsituationovertakenparanoiasensepersecutionbecomesobsessedchouleimagininglikedressinglikeetcpersonalityrapidlybeginswipedawayinsanitybrbranyoneeverdoubtedpolanskifearlessnessartistwelladvisedseefilmtrademarkblackhumorprominentlysometimesembarrassinglydisplaygodblessmakesbutttourdeforceperformanceonerichestriskiestgothichorrormoviesevermadepeopleseentruecrime,1
sweetsixteenminutesdirectorjimsotoscastbohopkinssusanstrasbergaleisashirleypatrickmacneedanakimmellbrbrfifteenyearoldbadgirlmelissanewdeserttownlongfolksaroundstartdyingdetectiveputtogetherclueshelpnancydrewgoodgirldaughterplayedfridaythalumnidanakimmelllocalnativeamericansprimesuspectssinceseemupsetprejudicedtownsfolkeventsleadrevealingkillermelissasixteenthbirthdaypartybrbraverageslashermemorablemadetvfeelwithoutmuchscorebesidestitlecharactercornythemesongplayscoupletimesthroughoutlineslikekillerturnuscoleslawfitstandardeightiesslasherscreenplaysmarcicallsmelissabadnamesomehowimmediatelydevelopfriendshipapparentlymarciseeshardfitmelissaknowswearmakemoviewouldhardpressedmadetodaymaincharacterfifteendirectorinsertingmultiplegratuitouscloseupssocialcommentaryindiansdevelopedenoughtakenseriouslysurprisedfairlyhighratingmoviegetssweetsixteenedhuntbloodybirthdaypotentialcapitalizetimehonoredtraditionbirthdaypartycreateintensesequencecarnagefeelfaileddeliverbrightsidereleasingobscuremovieslikedvdgiveshopeothersfollow,0
moviemuchlikeflashdanceknowdanceflickjenniferbealsfilmprobablyboringfilmeverseensinceevenbadenoughfunnygjanemuchbetterfilmsaymuchdemimooresweatslothighmusicgetseefighteverythingcertainlyengagingreallythinkideabehindfilmkindinterestingscriptclichédridleyscottanythingwelllikesaidbetterflashdance,0
mildspoilerscontainedhereinspoilingfilmsavetroublewatchbrbrjetlimoviesfallonetwocategoriesshaolinperiodmoviesmoviessetmoderndayhongkongrevolvingaroundtriadstriadlikeorganizationsgenrebestworstfilmstwinwarriorsjetlibestshaolineraflickevilcultworstfistlegendrecentpastbestmodernerajetlimovieblackmaskwithoutdoubtworstbrbrjetliplaysselfexiledmercenaryreceivedinjectiongivessuperhumanabilityshortenslifespannewlifeexileplayspacifistlibrarianoldmercenarysquadgoesrampagejetlibecomesvigilantedeterminedstopdonssillycorrugatedcardboardmaskconcealidentitypolicepubliclibrarianwellconcealtrueidentityexcomradesarmsbrbrversionsawdubbedhorriblyjetlicaptureholdhostagelibrarycoworkerpacifistlovestorypolicechiefcarelearnsblackmasktrueidentityplotplainbadbadwaysuperherocheesinessbadsensecharactersneverproperlydevelopedbadcharacterinteractionstoppedhalfexplainedstoryquicklylostinterestbrbractionmartialartssequenceswaytoplotsbloodgoreseveredbodypartsaplentyexplosionsmatrixstylesuperhumanmartialartsfiascospresentfilmunfortunatelyfilmsbestsellingpointwantseejetliplayingvigilantesuperheromissionimpossiblestylemovieblackmaskdeliversrestusjetlifanstruedisappointmentonemoviesjetlinevergetsjetligetsneitherchancecharmuscharismachanceimpressusimpressiveyetrealisticmartialartsabilitybrbrnormallychineseknockoffozzyosbournewouldenoughengrossfilmsadlyblackmaskprovedexceptionruleindeedantagonistmoviewaydresseslongstraighthairtrademarkroundsunglasseslookslikemodernagedozzyosbournehowevervillainscreenlongenoughmakegimmickworthwhileassuminglikenessozzyintentionaladditionvillainlookalsoransataniclookinghideoutmuchcouldmadeozzyosbournevillaingimmickwriterdirectoranyonebotheredgivebackgrounddevelopcharacterfilmarchvillainbrbrblackmaskfirstjetlifilmreleasedvideousalethalweapongladstayedawaymaywellruinedwholeperceptionjetlimartialartistactorwantseejetliworstrentblackmaskevilcultmakedoublefeaturehorrorintentionalunintentionalotherwisestickmovesutilizetalentsjetliplotssemiwellthoughtplausiblestars,0
showfullactioneverythingneededmakeawsomeshowbestactuallyplotunlikenewrealityshowstransgenicgirlescapesmilitaryholdingbasetotallysuggestbyingdvdsalreadypreorderedsuggest,1
goodmovielastpicturerevealingunknownsiderockillusionsfamewellknownrockersgettingoldforgottenmusicgoodsensehumoureverdancedbillhaleyrockaroundclockbrbranywaystillcrazyprobablybestmovierocknrolleverseenfarmuchbetterspinaltapinstancestillcrazypeoplematuredifferentpointviewrocklovelifewantcatchcrazyyouthmissmuchbeyondstoryseecharacterspersonalityweaknessesdreamslikeanyoneusbrbrspendgoodtimewatchinglistenawesomesoundtrackfinallythinkingfuturebrbrbye,1
numbersliepeoplevotedfilmsaysgreatdealstandingoneintuitivelyinsightfulcomedianslatethcenturyknowworkbillhicksalivetodayimaginewouldsayboypresidenthomestateshortcareerremainsunrecognizedsadsituationfilmrathertwofilmsexplainfirstseetalentobviousstartknewbillhicksalwayssayfunnyalsouniquefilmalsoshowsqualitymaterialchallengingmanyentertainmentindustrydrinkingalsocontributedcareerproblemslessevidentfilmsecondfilmcompleteperformanceneverseenheardbillhickswonderfulintroductionpersondarkintelligenthumorespeciallyduefacttopicsalmostyearsoldyetremainironicallydateunderlinedfactmanyeventstookplacefirstpresidentbushbrbrwatchingtogetherfirstbiographyperformancemakesawaregreatlytalentedyoungmanquicklylifepassedamericanmediasometimesactgreatbighomogenizerletmakesurenothingprovocativenothinginterestingresultwellmansaidgosleepamericagovernmentcontrollifetimeleastgreatbritianartistrecognizedtalentsuccessfulyearsdeathpeopleimdbsaysomethingfilmseenhopeunderstandpeoplelisteningbillhicks,1
brandsfilmlikesuitsupplytakeawaystorycausesupposedseteightiesthrillingfilmalsosingleintwinesoundtrackbadchorusrepeatednumeroustimeslikecruelmantakeawaycruelmanstayjeeezasswipescomesomethingbetterguesswrotecoupleminutesbrbrreallyannoyinglikeproductplacementfilmproductcashescontroversypublicityaroundcriminalcelebritylikemadeforgottenlikeratsought,0
whilstlovedhauntedhousemoviesamityvillepoltergeistmadetvadaptionsusanhillsbookpackshugepunchhorrorshollywoodbrbrbrilliantcastmanystarheartbeattvdramasgreatactingfantasticsettingportrayslifeconvincinglyrightingredientsenticeviewerpowerfulghoststorybrbrherbertwiseneedbloodviolencegoresendchillsspinesaudienceusingimaginationwomanblackfigurefeardreadwhosepresenceneverabsentfirstappearsbrbrmaincharacterarthurkiddsolicitorlearnsunseenspectremissionsettleestatewidowdiesarthurspendsnightsinsidedrearyhomenoticesmanyodditiesmayhauntdaysscenesunsettlingclaustrophobicparticularlylockedroomopensturnsgeneratorclosesarthurdarknessfilmbecomesharrowingputarthursshoeseffortsshakeghostwriterputsmanychillingadditionsstoryexampletinsoldierappearanceoneeagerlearnmeaningfactneverreallylearnmuchwidowleavesimaginationmakesunsettlingbrbrwidowpartlooksviciousintimidatingscenewindinggeneratorsentchillswomanappearsnowhereisolatedmarshylandhowlingwindpropertiesappreciateisolatingsceneinnperhapshorriblethingsseenonewishwatchhurryshowelderlyrelativesoftenwokennightthinkingbehindsleepbrbrwomanblackgreattvmovielostgemagreeextentinternethypefilmtotallyoverblownseepeopledisappointedspendingbest£thinknetdefeatedhiddengemsmakesfilmslikeexposedthinkstillbrilliantfantasticallyactedconsidergreatestghoststorylastcentury,1
startsayingfanbadmoviesreallybadmoviestatesfrontpassengerssnakesthinkaccuratesaypassengerssnakesbrbrsnakesanythingparticularlyinterestingwholemoviefactblunderslittlehappeningalthoughoccasionallygreatgoreshotpulsatingarmsgreengoopukebadmoviesgreengoobrbrendingcomesalongquiteliterallysmackseathysteriamoviegetsboostratingbrbrcertainmoviesworldwantshowfriendswatchreactioncertaineventhappensbrbrexamplearrivalbigmanrkellytrappedclosetlinesharkattackknowheararrivalmamasharksharkattackalmosteveryscenetrollendingdraculautterdisbeliefconfusionendmovieproudlysitscategoryworthsittinggetdrunkstonedwhateverpoisonwatchmoviematesbrbrquitesimplylikebadmoviesgetgetconfusedsnakesplanerelationbrbrpayfivereither,0
originallesvisiteursoriginalhilariousinterestingbalancednearperfectlvmustcandidateworstfirstsequelreallygoodfilmlveveryonekeepsshoutinggagworkfirstrepeatedanothertimesvaguehopeeventuallybecomefunnylvhorribleparodylvexceptcourseparodyinventivelovedlvseefilmseelv,0
reallysureevenbegindescribebadmovielikebadfilmsoftenentertaininglovebadspecialeffectsbadactingbadmusicineptdirectionexceptionmusicbetterexpectedmoviequalitiesbrbrspecialeffectsamazinglybadworstseensincenintendosceneswatchincludethunderchildwomancrushedmechanicalfootbigbenscenetrainwreckwowmanybadeffectsplussidethoughscenesalienwalkerswelldonebrbractingbadcouldpossiblybaseddirectlyhgwellsbookgoodsourcematerialalmostthoughactorstryingtopmakefunnymustachesingledistractingpiecefacialhairseenlongtimecoursehalfmoviecontainsactingrestcharacterswalkingaroundaimlesslypoorlyrenderedeffectsshotsbrbrsaytimothyhinesineptdirectorwouldinjusticeineptdirectorsusedifferentcoloredfiltersshotsparticularreasonusepoorlyrenderedbackgroundseveninsidescenesbadgreenscreeningamazingmanevergotapprovaldirectmovieimaginewouldpossibleturnbrilliantbookbadmoviebravomrhinesbravobrbradviceanyoneplansseemoviefriendsenjoybadmoviesdrinkplaypokerwatchingkeepdrinkingmaybemakewaymakeexcellentbadmoviefunlaughsillydisaster,0
fistwatchedmoviesaidfilmmadelikewongkarwaigorgeouspoeticlovestorycapturedthroughoutevenfilmmustadmitonebestlovemoviesmaybebesteverwatchedcontentformoverlapsperfectlywatchingsecretloveseecharactersboundedframeslimitsmovementswellfeelingsbeautifulcameraangleslightingmakesfeelingsblueseventouchablewantcongratulatechristopherdoylepinbingleefantasticcinematographycreatesmoodlovealsomusicdefinessadnessloveplaysalongbeautifulslowmotionframesshowscharactersdespairingmoodscourseperformancesactorsmakesloverealeventuallyelementsfilmcombinedperfectwaydirectionwkwgiveaudiencefeelingcalledlove,1
okchucknorrisshownmanyentertainingmovieyearsoneevenbothertryinggetplotbibleshipmentgonewrongactingmaincharacterswoodlikepinocchiowoulddonebetterjobsynthesizerbasedsoundtrackevenworseonedeathstalkerwhereastraditionallylowbudgetspookymoviesoftentryingcatchaudienceaddingplentygraphicviolenceonetryingcatchaudiencethrowingreligiousmambojumbospectatorplotboilsdifferentversionsbible,0
blackcandlesrathermuddledmessdirectorbroughtusvampyresmuchlaterrestpiecesamongothersnotingonesseenratecouplemakinglovesomewherenearpinpoisedvoodoodollpiercesmankeelssuregoodeitherpointfastforwardmansistercomehouseinvestigatehearreadingsomethingeffectcourseeverybodyelseexceptsomethinghappensdevilworshipreallyhardsaymomentsmoviegetbitconfusingtimesspicethingsthoughsimulatedbestialityscenehopesimulatedblackgoatsurecrowdpleaserughtimesechoesrosemarybabyminusbabyhostessalwaysgivingonewomanherbalteaplacereekswhatevernastysatanicherbskeepsgettingremarkeduponhoweverherbsthingreeksfilmendseemsbackbeginningmanyviewersmightfindwonderingmiddlepartunwatchablegoodguessdependslikeseefilmsmuchanythingmuch,0
lovechanwookparkknowexpectfilmsbrutalpoetictragicartisticsplashesgrimhumorthirstclearlyparkstylelovedeverysecondcinematographyeveryshotgorgeouscreativestoryblendsshakespeareantragedymurderouslovegothichorrorlayeredcharacterdramacharacterscomplexplentymoralambiguitygoaroundevensociopathiccharacterevokessympathydirectionrestrainedperformancesnuancedlikesympathymrvengeancemanysubtletiestakefirstviewingchanwookparkintelligentboldconsistentlysurprisingfilmmakerunpredictablescenesgobrutalheartwrenchinglaughloudhilariousinstantcloserladyvengeancesympathymrvengeancefartopcomicallikeladyvengeanceincrediblyrichthoughtprovokingrewardingbrbrlikebeautifullytoldvampirestoriesletrightonefanchanwookparkseeingthirstobviouseasilyonebestfilms,1
